,municipio
337,Tierra Blanca
338,San José Iturbide
339,Celaya
340,Apaseo el Grande
341,Comonfort
342,Santa Cruz de Juventino Rosas
343,Villagrán
344,Cortazar
345,Valle de Santiago
346,Jaral del Progreso
347,Apaseo el Alto
348,Jerécuaro
349,Coroneo
350,Acámbaro
351,Tarimoro
352,Tarandacuao
353,Moroleón
354,Salvatierra
355,Yuriria
356,Santiago Maravatío
357,Uriangato
358,Chilpancingo de los Bravo
359,General Heliodoro Castillo
360,Leonardo Bravo
361,Tixtla de Guerrero
362,Ayutla de los Libres
363,Mochitlán
364,Quechultenango
365,Tecoanapa
366,Acapulco de Juárez
367,Juan R. Escudero
368,San Marcos
369,Iguala de la Independencia
370,Huitzuco de los Figueroa
371,Tepecoacuilco de Trujano
372,Eduardo Neri
373,Taxco de Alarcón
374,Buenavista de Cuéllar
375,Tetipac
376,Pilcaya
377,Teloloapan
378,Ixcateopan de Cuauhtémoc
379,Pedro Ascencio Alquisiras
380,General Canuto A. Neri
381,Arcelia
382,Apaxtla
383,Cuetzala del Progreso
384,Cocula
385,Tlapehuala
386,Cutzamala de Pinzón
387,Pungarabato
388,Tlalchapa
389,Coyuca de Catalán
390,Ajuchitlán del Progreso
391,Zirándaro
392,San Miguel Totolapan
393,La Unión de Isidoro Montes de Oca
394,Petatlán
395,Coahuayutla de José María Izazaga
396,Zihuatanejo de Azueta
397,Técpan de Galeana
398,Atoyac de Álvarez
399,Coyuca de Benítez
400,Olinalá
401,Atenango del Río
402,Copalillo
403,Cualác
404,Chilapa de Álvarez
405,José Joaquín de Herrera
406,Ahuacuotzingo
407,Zitlala
408,Mártir de Cuilapan
409,Huamuxtitlán
410,Xochihuehuetlán
411,Alpoyeca
412,Tlapa de Comonfort
413,Tlalixtaquilla de Maldonado
414,Xalpatláhuac
415,Zapotitlán Tablas
416,Acatepec
417,Atlixtac
418,Copanatoyac
419,Malinaltepec
420,Iliatenco
421,Tlacoapa
422,Atlamajalcingo del Monte
423,San Luis Acatlán
424,Metlatónoc
425,Cochoapa el Grande
426,Alcozauca de Guerrero
427,Ometepec
428,Tlacoachistlahuaca
429,Xochistlahuaca
430,Florencio Villarreal
431,Cuautepec
432,Copala
433,Azoyú
434,Juchitán
435,Marquelia
436,Cuajinicuilapa
437,Igualapa
438,Pachuca de Soto
439,Mineral del Chico
440,Mineral del Monte
441,Ajacuba
442,San Agustín Tlaxiaca
443,Mineral de la Reforma
444,Zapotlán de Juárez
445,Jacala de Ledezma
446,Pisaflores
447,Pacula
448,La Misión
449,Chapulhuacán
450,Ixmiquilpan
451,Zimapán
452,Nicolás Flores
453,Cardonal
454,Tasquillo
455,Alfajayucan
456,Huichapan
457,Tecozautla
458,Nopala de Villagrán
459,Actopan
460,Santiago de Anaya
461,San Salvador
462,El Arenal
463,Mixquiahuala de Juárez
464,Progreso de Obregón
465,Chilcuautla
466,Tezontepec de Aldama
467,Tlahuelilpan
468,Tula de Allende
469,Tepeji del Río de Ocampo
470,Chapantongo
471,Tepetitlán
472,Tetepango
473,Tlaxcoapan
474,Atitalaquia
475,Atotonilco de Tula
476,Huejutla de Reyes
477,San Felipe Orizatlán
478,Jaltocán
479,Huautla
480,Atlapexco
481,Huazalingo
482,Yahualica
483,Xochiatipan
484,Molango de Escamilla
485,Tepehuacán de Guerrero
486,Lolotla
487,Tlanchinol
488,Tlahuiltepa
489,Juárez Hidalgo
490,Zacualtipán de Ángeles
491,Calnali
492,Xochicoatlán
493,Tianguistengo
494,Atotonilco el Grande
495,Eloxochitlán
496,Metztitlán
497,San Agustín Metzquititlán
498,Metepec
499,Huehuetla
500,San Bartolo Tutotepec
501,Agua Blanca de Iturbide
502,Tenango de Doria
503,Huasca de Ocampo
504,Acatlán
505,Omitlán de Juárez
506,Epazoyucan
507,Tulancingo de Bravo
508,Acaxochitlán
509,Cuautepec de Hinojosa
510,Santiago Tulantepec de Lugo Guerrero
511,Singuilucan
512,Tizayuca
513,Zempoala
514,Tolcayuca
515,Villa de Tezontepec
516,Apan
517,Tlanalapa
518,Almoloya
519,Tepeapulco
520,Guadalajara
521,Zapopan
522,San Cristóbal de la Barranca
523,Ixtlahuacán del Río
524,Tala
525,Amatitán
526,Zapotlanejo
527,Acatic
528,Cuquío
529,San Pedro Tlaquepaque
530,Tlajomulco de Zúñiga
531,El Salto
532,Acatlán de Juárez
533,Villa Corona
534,Zacoalco de Torres
535,Atemajac de Brizuela
536,Jocotepec
537,Ixtlahuacán de los Membrillos
538,Juanacatlán
539,Chapala
540,Poncitlán
541,Zapotlán del Rey
542,Huejuquilla el Alto
543,Mezquitic
544,Villa Guerrero
545,Bolaños
546,Totatiche
547,Colotlán
548,Santa María de los Ángeles
549,Huejúcar
550,Chimaltitán
551,San Martín de Bolaños
552,Tequila
553,Hostotipaquillo
554,Magdalena
555,Etzatlán
556,San Juanito de Escobedo
557,Ameca
558,Ahualulco de Mercado
559,Teuchitlán
560,San Martín Hidalgo
561,Guachinango
562,Mixtlán
563,Mascota
564,San Sebastián del Oeste
565,San Juan de los Lagos
566,Jalostotitlán
567,San Miguel el Alto
568,San Julián
569,Arandas
570,San Ignacio Cerro Gordo
571,Teocaltiche
572,Villa Hidalgo
573,Encarnación de Díaz
574,Yahualica de González Gallo
575,Mexticacán
576,Cañadas de Obregón
577,Valle de Guadalupe
578,Lagos de Moreno
579,Ojuelos de Jalisco
580,Unión de San Antonio
581,San Diego de Alejandría
582,Tepatitlán de Morelos
583,Tototlán
584,Atotonilco el Alto
585,Ocotlán
586,Jamay
587,La Barca
588,Ayotlán
589,Degollado
590,Unión de Tula
591,Ayutla
592,Atenguillo
593,Cuautla
594,Atengo
595,Talpa de Allende
596,Puerto Vallarta
597,Cabo Corrientes
598,Tomatlán
599,Tecolotlán
600,Tenamaxtlán
601,Juchitlán
602,Chiquilistlán
603,Ejutla
604,El Limón
605,El Grullo
606,Tonaya
607,Tuxcacuesco
608,Villa Purificación
609,La Huerta
610,Autlán de Navarro
611,Casimiro Castillo
612,Cuautitlán de García Barragán
613,Cihuatlán
614,Zapotlán el Grande
615,Concepción de Buenos Aires
616,Atoyac
617,Techaluta de Montenegro
618,Teocuitatlán de Corona
619,Sayula
620,Tapalpa
621,Amacueca
622,Tizapán el Alto
623,Tuxcueca
624,La Manzanilla de la Paz
625,Mazamitla
626,Valle de Juárez
627,Quitupan
628,Zapotiltic
629,Tamazula de Gordiano
630,San Gabriel
631,Tolimán
632,Zapotitlán de Vadillo
633,Tuxpan
634,Tonila
635,Pihuamo
636,Tecalitlán
637,Jilotlán de los Dolores
638,Santa María del Oro
639,Toluca
640,Acambay de Ruíz Castañeda
641,Aculco
642,Temascalcingo
643,Atlacomulco
644,Timilpan
645,San Felipe del Progreso
646,San José del Rincón
647,Jocotitlán
648,Ixtlahuaca
649,Jiquipilco
650,Temoaya
